,Building Information,,,,,,,,Events Information,,,,,Ordinate  Intensity Measures,,,,,,Spectral Intensity Measures ,,,,,,Building Response,,,,Building Frequency ,,Average spectral values,,,Duration of Strong Motion,,,,,,,,,,,,,,,
Network,Building ID,B_Lat.,B_Long.,Soil info.,Vs30,Height,No. of story,Typology,Event Date,E_Lat.,E_Long.,Magnitude,Epicentral distance (R),PGA,PGV,PGD,AI,DP,CAV,SA1,SV1,SD1,SA2,SV2,SD2,Drift,PTA,PTV,PTD,F1,F2,Avg_Sa,Avg_Sv,Avg_Sd,Effective,Bracketed 1 [0.05g],Uniform [0.05g],Bracketed [0.1g],Uniform [0.1g],Bracketed [0.15g],Uniform [0.15g],Bracketed [0.2g],Uniform [0.2g],Significant_a1 [(5-75)%],Significant_a2 [(5-95)%],Significant_v1 [(5-75)%],Significant_v2 [(5-95)%],Significant_d1 [(5-75)%],Significant_d2 [(5-95)%],ZX
,,[degree],[degree],Unnamed: 4_level_2,[m/s2],[cm],Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,[degree],[degree],[Mw],[km],[cm/s2],[cm/s],[cm],[cm/s],[cm*s],[cm/s],[cm/s2],[cm/s],[cm],[cm/s2],[cm/s],[cm],[cm/cm],[cm/s2],[cm/s],[cm],Hz,Hz,[cm/s2],[cm/s],[cm],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec]
BRI,ANX,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199806011635_ANX_BFE_180_1',34.03,136.2283,5.3,420.7,1.57700508995313,0.0734519543145141,0.00996871819118167,0.00730773439530489,0.0000810858910916985,14.9436643505152,2.80000309649633,0.245023713834727,0.0180942563640223,2.06449493841191,0.222815098298928,0.0203798572008649,-0.218342821439381,3.44805066151707,0.261766274270532,0.022683747867465,1.96243814664867,1.59658821266068,2.5556523785404,0.242458275145577,0.0204954423575645,0,0,0,0,0,0,0,0,0,54.89,73.15,56.97,81.65,93.23,122.2,54.3005367054615
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199806080802_ANX_BFE_180_1',36.1067,139.8917,3.8,16.6,3.44996784170265,0.132410855452758,0.0135052662785584,0.00968669363814151,0.0000504348634852624,10.4687111933966,2.58154301828097,0.259163500603424,0.0192480510136093,2.20534105476226,0.241070883968161,0.0190640843725662,-0.226957883869323,6.09044131997242,0.359264970098036,0.0266573289427194,1.83404160143145,1.68493941730595,2.38804187483063,0.252242132083157,0.0191123884941915,0,0,0,0,0,0,0,0,0,5.96,19.57,13.88,27.74,25.26,63.18,6.93459301267187
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199806081648_ANX_BFE_180_1',37.02,141.0583,4.2,132.2,0.854164877287811,0.0367348015468316,0.00357992431371554,0.00147843361153404,0.00000961520298864488,4.9890752686981,0.710808539484356,0.0831389615015171,0.00513051729877394,0.671577299205284,0.0692336446762403,0.00576745650602573,-0.240753603612758,1.74675377947644,0.0924215136846366,0.00787084576909432,1.84608007672021,1.69692554899484,0.710873298724023,0.0775287625902398,0.00560458006203374,0,0,0,0,0,0,0,0,0,10.6,29.11,18.58,48.81,70.65,72.53,5.9237749747817
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199806131315_ANX_BFE_180_1',36.045,140.0867,3.4,9.8,0.549760897003991,0.0260085679488393,0.00227696708731666,0.000337715133496893,0.00000118150222034254,2.15813822891871,0.578159771524471,0.0535731730389086,0.00370804010864731,0.366055107817832,0.0413720516769077,0.00359225793285559,-0.244347839452839,1.21048522308422,0.0689769082757515,0.00577348010817362,1.94948789571695,1.58063201125289,0.449760329458491,0.0443964372622389,0.00358685659564406,0,0,0,0,0,0,0,0,0,10.45,25.24,13.61,32.37,33.76,57.79,5.13962336853121
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199806142217_ANX_BFE_180_1',35.46,140.7517,5.7,96.6,5.8634784814782,1.00680378882808,0.193666035478649,0.216008167950447,0.0055111640694766,79.9051154766842,12.6188998474966,0.986631865635728,0.099006350890634,22.3172434931347,2.87240452029739,0.422697346630976,-0.101460745623592,19.9022993700447,1.90091938591389,0.256935744060234,1.77804185027351,1.14437520688229,18.2664081030964,1.84341437910955,0.246770519742685,0,0,0,0,0,0,0,0,0,24.25,48.01,23.06,50.12,28.47,70.65,20.6869388380118
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199806211205_ANX_BFE_180_1',36.0483,139.8983,2.8,18.3,0.402742991663466,0.0142366546004512,0.00191405374963598,0.000105491343828522,0.00000013250103648402,1.11740256441456,0.218469750531967,0.021189205214831,0.00135148419599543,0.152621451005733,0.0201405414322096,0.0013483995940027,-0.250145527759322,0.622497249053757,0.0288925455339341,0.00223871197117305,2.00185142328165,1.66839439444669,0.182493727792352,0.0205928371857093,0.0013476676793804,0,0,0,0,0,0,0,0,0,8.17,20.17,12.13,30.72,21.8,46.58,3.92830240037144
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199806242352_ANX_BFE_180_1',36.15,140.1017,4.7,3.1,5.54604358490255,0.329212332866569,0.0523281051563345,0.0694119442343333,0.000853798620271073,36.9472042405509,11.197279442612,0.892997991765798,0.0751072277664196,9.48807919155055,0.99286243965255,0.10634093859372,-0.16380876629168,16.3405851656447,1.15645840491282,0.0969983864535643,1.94028181614851,1.48269748529094,9.57718961668767,0.881563139143436,0.0849399904534461,0,0,0,0,0,0,0,0,0,16.52,33.79,18.76,42.78,17.19,47.54,12.8887581503438
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199807010303_ANX_BFE_180_1',36.5633,141.2467,3.7,115.5,0.512301860850485,0.020070863378379,0.00217497849085721,0.000502906001046793,0.00000244198905035232,2.90215463297699,0.511804388952368,0.0491814761516446,0.00342712642532198,0.390073711073306,0.0405225026871614,0.00348958714364649,-0.245442532638463,1.03142752274193,0.0479776709696421,0.00483983541308377,1.91201150803165,1.67280901003538,0.41843652142381,0.0413045270808471,0.00323230673573505,0,0,0,0,0,0,0,0,0,12.4,26.35,19.03,39.4,32.78,60.36,4.63947246570954
